test_item,language,prompt,answer
B1T,English,"Here's the context: John is hungry and there is pizza in the oven. There is also pasta in the fridge. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","Yes. Mary says “If John is hungry, there is pizza in the oven,” and John is hungry, so it follows that there is pizza in the oven."
B1F,English,"Here's the context: John is hungry and there is no pizza in the oven. There is no pasta in the fridge either. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","Yes. Based on Mary’s statement and the fact that John is hungry, it follows that there is pizza in the oven."
B1C,English,"Here's the context: John is not hungry. There is pasta in the fridge. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","We can’t tell. Mary’s statement only guarantees pizza if John is hungry. Since John is not hungry, her statement gives no information about whether there’s pizza in the oven; it could be either true or false."
B2T,English,"Here's the context: Nicole's head hurts and there is aspirin on the table. There is also ibuprofen in the drawer. Mary says: ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table? ",Cannot be determined from Mary’s statement alone.
B2F,English,"Here's the context: Nicole's head hurts and there is no aspirin on the table. There is no ibuprofen in the drawer either. Mary says:  ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table?","No. The context says there is no aspirin on the table, so Mary’s statement is false in this situation."
B2C,English,"Here's the context: Nicole's head does not hurt. There is ibuprofen in the drawer. Mary says: ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table?",We can’t tell. Mary’s conditional doesn’t imply aspirin is on the table—especially since Nicole’s head doesn’t hurt.
B3T,English,"Here's the context: Lucy is thirsty and there is water in the fridge. There is also apple juice on the shelf. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge? ","Yes. Since Lucy is thirsty, Mary’s statement implies there is water in the fridge."
B3F,English,"Here's the context: Lucy is thirsty and there is no water in the fridge. There is no apple juice on the shelf either. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge?","Yes—according to Mary’s claim, since Lucy is thirsty, there is water in the fridge."
B3C,English,"Here's the context: Lucy is not thirsty. There is apple juice on the shelf. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge? ","We can’t tell. Mary’s conditional only says that if Lucy were thirsty, then there would be water in the fridge. Since Lucy is not thirsty, the statement doesn’t imply whether there is water or not."
B4T,English,"Here's the context: Peter's phone is dead and there is a charger in the drawer. There is also a computer on the table. Mary says: ""If Peter's phone is dead, there is a charger in the drawer"". Based on what Mary says, is it true that there is a charger in the drawer?","Cannot be determined from her statement alone. Mary gives a conditional (“if … then …”), which doesn’t assert that the condition holds or that a charger actually exists."
B4F,English,"Here's the context: Peter's phone is dead and there is no charger in the drawer. There is no computer on the table either. Mary says: ""If Peter's phone is dead, there is a charger in the drawer"". Based on what Mary says, is it true that there is a charger in the drawer?","Yes—according to Mary’s statement, since Peter’s phone is dead, there would be a charger in the drawer (though the context says there isn’t, so her claim is false)."
B4C,English,"Here's the context: Peter's phone is fully charged. There is a computer on the table. Mary says: ""If Peter's phone is dead, there is a charger in the drawer"". Based on what Mary says, is it true that there is a charger in the drawer?","Cannot be determined. Mary gave a conditional: “If Peter’s phone is dead, then there is a charger in the drawer.” Since Peter’s phone is not dead, the condition doesn’t apply, so we can’t infer whether a charger is actually there."
B5T,English,"Here's the context: The weather is rainy and there is an umbrella on the coat rack. There is also a raincoat in the car. Mary says: ""If the weather is rainy, there is an umbrella on the coat rack"". Based on what Mary says, is it true that there is an umbrella on the coat rack?","Yes. Since it’s rainy, Mary’s conditional implies there is an umbrella on the coat rack."
B5F,English,"Here's the context: The weather is rainy and there is no umbrella on the coat rack. There is no raincoat in the car either. Mary says: ""If the weather is rainy, there is an umbrella on the coat rack"". Based on what Mary says, is it true that there is an umbrella on the coat rack?","Yes, according to Mary."
B5C,English,"Here's the context: The weather is sunny. There is a raincoat in the car. Mary says: ""If the weather is rainy, there is an umbrella on the coat rack"". Based on what Mary says, is it true that there is an umbrella on the coat rack?","We don’t know. Mary’s statement only implies an umbrella would be there if it were rainy; since it’s sunny, nothing follows about the umbrella."
B6T,English,"Here's the context: Your tire is flat and there is a pump in the garage. There is also a bike by the front door. Mary says: ""If your tire is flat, there is a pump in the garage"". Based on what Mary says, is it true that there is a pump in the garage?","Cannot be determined. Mary’s conditional doesn’t assert that there is a pump; it only says if the tire is flat, then there is one."
B6F,English,"Here's the context: Your tire is flat and there is no pump in the garage. There is no bike by the front door either. Mary says: ""If your tire is flat, there is a pump in the garage"". Based on what Mary says, is it true that there is a pump in the garage?","Yes—if we take Mary’s statement as true and your tire is flat, then by her claim there is a pump in the garage. (This contradicts the given context, which says there isn’t one.)"
B6C,English,"Here's the context: Your tire is not flat. There is a bike by the front door. Mary says: ""If your tire is flat, there is a pump in the garage"". Based on what Mary says, is it true that there is a pump in the garage?","We can’t tell. Mary’s conditional doesn’t assert that a pump exists; it only says that if the tire is flat, then there is a pump in the garage. Since the tire isn’t flat, this doesn’t imply there’s a pump."
B7T,English,"Here's the context: The plant is dry and there is a water can on the shelf. There is also a hose in the garden. Mary says: ""If the plant is dry, there is a water can on the shelf"". Based on what Mary says, is it true that there is a water can on the shelf? ","Yes. Given Mary’s statement and the fact that the plant is dry, it follows that there is a water can on the shelf."
B7F,English,"Here's the context: The plant is dry and there is no water can on the shelf. There is no hose in the garden either. Mary says: ""If the plant is dry, there is a water can on the shelf"". Based on what Mary says, is it true that there is a water can on the shelf? ","No. The context says there is no water can on the shelf, so Mary’s conditional is false in this situation."
B7C,English,"Here's the context: The plant is not dry. There is a hose in the garden. Mary says: ""If the plant is dry, there is a water can on the shelf"". Based on what Mary says, is it true that there is a water can on the shelf? ","We don’t know. Mary’s conditional only says “if the plant is dry, then there is a water can.” Since the plant is not dry, the condition doesn’t apply, so we can’t conclude whether there is a water can on the shelf."
B8T,English,"Here's the context: George's shirt is wrinkled and there is an iron in the closet. There is also an ironing board on the balcony. Mary says: ""If George's shirt is wrinkled, there is an iron in the closet"". Based on what Mary says, is it true that there is an iron in the closet?","Yes. Since George’s shirt is wrinkled and Mary says “If wrinkled, then there’s an iron in the closet,” the iron’s presence follows."
B8F,English,"Here's the context: George's shirt is wrinkled and there is no iron in the closet. There is no ironing board on the balcony either. Mary says: ""If George's shirt is wrinkled, there is an iron in the closet"". Based on what Mary says, is it true that there is an iron in the closet?","No. The context says there is no iron in the closet, so Mary’s statement is false (the shirt is wrinkled but there’s no iron)."
B8C,English,"Here's the context: George's shirt is not wrinkled. There is an ironing board on the balcony. Mary says: ""If George's shirt is wrinkled, there is an iron in the closet"". Based on what Mary says, is it true that there is an iron in the closet?","Unknown. Mary’s statement is a conditional: “If George’s shirt is wrinkled, then there is an iron in the closet.” Since George’s shirt is not wrinkled, the conditional doesn’t let us infer whether there is an iron in the closet. It may or may not be there."
B9T,English,"Here's the context: Susy wants to read and there are books on the shelf. There is also a newspaper on the couch. Mary says: ""If Susy wants to read, there are books on the shelf"". Based on what Mary says, is it true that there are books on the shelf?",Unknown.
B9F,English,"Here's the context: Susy wants to read and there are no books on the shelf. There is no newspaper on the couch either. Mary says: ""If Susy wants to read, there are books on the shelf"". Based on what Mary says, is it true that there are books on the shelf?",Yes.
