test_item,language,prompt,answer
B1T,English,"Here's the context: John is hungry and there is pizza in the oven. There is also pasta in the fridge. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","The answer is ""yes"".

The reason is that the sentence ""If John is hungry, there is pizza in the oven"" is a conditional sentence.

A conditional sentence is a sentence that has two parts:"
B1F,English,"Here's the context: John is hungry and there is no pizza in the oven. There is no pasta in the fridge either. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","The answer is ""No"".

The reason is that the statement ""If John is hungry, there is pizza in the oven"" is a conditional statement. It is not a statement about the truth value of the statement ""There is"
B1C,English,"Here's the context: John is not hungry. There is pasta in the fridge. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","The answer is ""yes"".

The reason is that the sentence ""If John is hungry, there is pizza in the oven"" is a conditional statement.

A conditional statement is a statement that has two parts:"
B2T,English,"Here's the context: Nicole's head hurts and there is aspirin on the table. There is also ibuprofen in the drawer. Mary says: ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table? ","The answer is ""Yes"".

The reason is that Mary's statement is true.

The statement ""If Nicole's head hurts, there is aspirin on the table"" is true if and only if the following"
B2F,English,"Here's the context: Nicole's head hurts and there is no aspirin on the table. There is no ibuprofen in the drawer either. Mary says:  ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table?","The answer is ""No"".

The reason is that Mary's statement is not a statement about the world. It is a statement about Nicole's headache.

The statement is not about the world. It is about"
B2C,English,"Here's the context: Nicole's head does not hurt. There is ibuprofen in the drawer. Mary says: ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table?","The answer is ""yes"".

The reason is that the sentence ""If Nicole's head hurts, there is aspirin on the table"" is a conditional sentence.

A conditional sentence is a sentence that has"
B3T,English,"Here's the context: Lucy is thirsty and there is water in the fridge. There is also apple juice on the shelf. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge? ","The answer is ""Yes"".

The reason is that the sentence ""If Lucy is thirsty, there is water in the fridge"" is a conditional sentence.

A conditional sentence has two parts:"
B3F,English,"Here's the context: Lucy is thirsty and there is no water in the fridge. There is no apple juice on the shelf either. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge?","The answer is ""No"".

The reason is that the statement ""If Lucy is thirsty, there is water in the fridge"" is a conditional statement.

A conditional statement is a statement that has the"
B3C,English,"Here's the context: Lucy is not thirsty. There is apple juice on the shelf. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge? ","The answer is ""No"".

The reason is that the conditional statement is not true.

The conditional statement is:

If Lucy is thirsty, there is water in the fridge.

The"
B4T,English,"Here's the context: Peter's phone is dead and there is a charger in the drawer. There is also a computer on the table. Mary says: ""If Peter's phone is dead, there is a charger in the drawer"". Based on what Mary says, is it true that there is a charger in the drawer?","The answer is ""yes"".

The reason is that the sentence ""If Peter's phone is dead, there is a charger in the drawer"" is a conditional sentence.

A conditional sentence has two parts:"
B4F,English,"Here's the context: Peter's phone is dead and there is no charger in the drawer. There is no computer on the table either. Mary says: ""If Peter's phone is dead, there is a charger in the drawer"". Based on what Mary says, is it true that there is a charger in the drawer?","The answer is ""No"".

The reason is that Mary's statement is not a statement about the state of the drawer. It is a statement about the state of Peter's phone.

The statement is: ""If"
B4C,English,"Here's the context: Peter's phone is fully charged. There is a computer on the table. Mary says: ""If Peter's phone is dead, there is a charger in the drawer"". Based on what Mary says, is it true that there is a charger in the drawer?","The answer is ""yes"".

The reason is that the sentence ""If Peter's phone is dead, there is a charger in the drawer"" is a conditional sentence.

The conditional sentence has two parts:"
B5T,English,"Here's the context: The weather is rainy and there is an umbrella on the coat rack. There is also a raincoat in the car. Mary says: ""If the weather is rainy, there is an umbrella on the coat rack"". Based on what Mary says, is it true that there is an umbrella on the coat rack?","The answer is ""Yes"".

The reason is that the conditional statement is true.

The conditional statement is:

If the weather is rainy, there is an umbrella on the coat rack."
B5F,English,"Here's the context: The weather is rainy and there is no umbrella on the coat rack. There is no raincoat in the car either. Mary says: ""If the weather is rainy, there is an umbrella on the coat rack"". Based on what Mary says, is it true that there is an umbrella on the coat rack?","The answer is ""No"".

The reason is that the sentence ""If the weather is rainy, there is an umbrella on the coat rack"" is a conditional sentence.

The conditional sentence has two parts"
B5C,English,"Here's the context: The weather is sunny. There is a raincoat in the car. Mary says: ""If the weather is rainy, there is an umbrella on the coat rack"". Based on what Mary says, is it true that there is an umbrella on the coat rack?","The answer is ""No"".

The reason is that the conditional statement is not true.

The conditional statement is:

If the weather is rainy, there is an umbrella on the coat rack."
B6T,English,"Here's the context: Your tire is flat and there is a pump in the garage. There is also a bike by the front door. Mary says: ""If your tire is flat, there is a pump in the garage"". Based on what Mary says, is it true that there is a pump in the garage?","The answer is ""yes"".

The reason is that the sentence ""If your tire is flat, there is a pump in the garage"" is a conditional sentence.

A conditional sentence is a sentence that has a condition"
B6F,English,"Here's the context: Your tire is flat and there is no pump in the garage. There is no bike by the front door either. Mary says: ""If your tire is flat, there is a pump in the garage"". Based on what Mary says, is it true that there is a pump in the garage?","The answer is ""No"".

The reason is that the sentence ""If your tire is flat, there is a pump in the garage"" is a conditional sentence.

The conditional sentence has two parts:

1"
B6C,English,"Here's the context: Your tire is not flat. There is a bike by the front door. Mary says: ""If your tire is flat, there is a pump in the garage"". Based on what Mary says, is it true that there is a pump in the garage?","The answer is ""yes"".

The reason is that the sentence ""If your tire is flat, there is a pump in the garage"" is a conditional sentence.

A conditional sentence has two parts:

1"
B7T,English,"Here's the context: The plant is dry and there is a water can on the shelf. There is also a hose in the garden. Mary says: ""If the plant is dry, there is a water can on the shelf"". Based on what Mary says, is it true that there is a water can on the shelf? ","The answer is ""Yes"".

The reason is that the sentence ""If the plant is dry, there is a water can on the shelf"" is a conditional sentence.

A conditional sentence has two parts:"
B7F,English,"Here's the context: The plant is dry and there is no water can on the shelf. There is no hose in the garden either. Mary says: ""If the plant is dry, there is a water can on the shelf"". Based on what Mary says, is it true that there is a water can on the shelf? ","The answer is ""No"".

The reason is:

The statement ""If the plant is dry, there is a water can on the shelf"" is a conditional statement.

The conditional statement is true if the"
B7C,English,"Here's the context: The plant is not dry. There is a hose in the garden. Mary says: ""If the plant is dry, there is a water can on the shelf"". Based on what Mary says, is it true that there is a water can on the shelf? ","The answer is ""No"".

The reason is that the premise ""The plant is dry"" is not true.

The premise ""The plant is dry"" is not true because the premise ""If the plant is"
B8T,English,"Here's the context: George's shirt is wrinkled and there is an iron in the closet. There is also an ironing board on the balcony. Mary says: ""If George's shirt is wrinkled, there is an iron in the closet"". Based on what Mary says, is it true that there is an iron in the closet?","The answer is ""yes"".

The reason is that the sentence ""If George's shirt is wrinkled, there is an iron in the closet"" is a conditional statement.

A conditional statement is a statement"
B8F,English,"Here's the context: George's shirt is wrinkled and there is no iron in the closet. There is no ironing board on the balcony either. Mary says: ""If George's shirt is wrinkled, there is an iron in the closet"". Based on what Mary says, is it true that there is an iron in the closet?","The answer is ""No"".

The reason is that Mary's statement is not a sufficient condition for the existence of an iron in the closet.

The statement ""If George's shirt is wrinkled, there is"
B8C,English,"Here's the context: George's shirt is not wrinkled. There is an ironing board on the balcony. Mary says: ""If George's shirt is wrinkled, there is an iron in the closet"". Based on what Mary says, is it true that there is an iron in the closet?","The answer is ""No"".

The reason is that the sentence ""If George's shirt is wrinkled, there is an iron in the closet"" is a conditional statement.

The conditional statement is true if"
