test_item,language,prompt,answer
B1T,English,"Here's the context: John is hungry and there is pizza in the oven. There is also pasta in the fridge. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","Yes, it is true that there is pizza in the oven.

Mary’s statement is a conditional: “If John is hungry, then there is pizza in the oven.” We know John *is* hungry. Therefore, the “if” part of the statement is true, and the “then” part *must* also be true.
"
B1F,English,"Here's the context: John is hungry and there is no pizza in the oven. There is no pasta in the fridge either. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","No, it is not necessarily true that there is pizza in the oven.

Mary’s statement is a conditional statement: “If John is hungry, then there is pizza in the oven.”  We know John *is* hungry. However, conditional statements only tell us what happens *if* the first part (the hypothesis) is true. They don't tell us what happens if the first part is false.

Since John is hungry, and Mary says pizza would be in the oven *if* he was hungry, the statement doesn't guarantee pizza is there. It simply means that *if* he were hungry, it would be true.

The fact that there's no pizza in the oven contradicts Mary's statement."
B1C,English,"Here's the context: John is not hungry. There is pasta in the fridge. Mary says: ""If John is hungry, there is pizza in the oven"". Based on what Mary says, is it true that there is pizza in the oven?","No, it is not necessarily true that there is pizza in the oven.

Mary’s statement is a conditional: “If John is hungry, then there is pizza in the oven.”  Since we know John is *not* hungry, the condition is not met.  A conditional statement is only false when the condition is true and the conclusion is false.  Because the condition (John being hungry) is false, the statement as a whole is true regardless of whether there's pizza in the oven or not. 

It's possible there *is* pizza in the oven, but Mary's statement doesn't guarantee it.
"
B2T,English,"Here's the context: Nicole's head hurts and there is aspirin on the table. There is also ibuprofen in the drawer. Mary says: ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table? ","Yes, it is true that there is aspirin on the table.

Mary’s statement is a conditional: “If Nicole’s head hurts, then there is aspirin on the table.” We know Nicole’s head hurts. Therefore, the “if” part of the statement is true, and the “then” part *must* also be true according to Mary’s logic.
"
B2F,English,"Here's the context: Nicole's head hurts and there is no aspirin on the table. There is no ibuprofen in the drawer either. Mary says:  ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table?","No, it is not necessarily true.

Mary’s statement is a conditional: “If Nicole’s head hurts, then there is aspirin on the table.”  We know Nicole’s head hurts. However, the statement doesn’t say that *only* if her head hurts is there aspirin. It’s possible there’s aspirin there for other reasons.

Since we know there’s no aspirin on the table, Mary’s statement is false."
B2C,English,"Here's the context: Nicole's head does not hurt. There is ibuprofen in the drawer. Mary says: ""If Nicole's head hurts, there is aspirin on the table"". Based on what Mary says, is it true that there is aspirin on the table?","No, it is not necessarily true that there is aspirin on the table.

Mary’s statement is a conditional: “If Nicole’s head hurts, then there is aspirin on the table.”  Since Nicole’s head *doesn’t* hurt, the condition is not met.  The conditional statement tells us nothing about whether aspirin is actually on the table.
"
B3T,English,"Here's the context: Lucy is thirsty and there is water in the fridge. There is also apple juice on the shelf. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge? ","Yes, it is true that there is water in the fridge.

Mary’s statement is a conditional: “If Lucy is thirsty, then there is water in the fridge.” We know Lucy *is* thirsty. Therefore, the “if” part of the statement is true, and the “then” part *must* also be true.
"
B3F,English,"Here's the context: Lucy is thirsty and there is no water in the fridge. There is no apple juice on the shelf either. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge?","No, it is not true that there is water in the fridge.

Mary’s statement is a conditional: “If Lucy is thirsty, then there is water in the fridge.” We know Lucy *is* thirsty. However, the statement doesn’t say that thirst *always* means there’s water. It simply states what happens *if* she’s thirsty. Since there’s no water, the condition isn’t met. 

This is a classic example of why you can't reverse a conditional statement.
"
B3C,English,"Here's the context: Lucy is not thirsty. There is apple juice on the shelf. Mary says: ""If Lucy is thirsty, there is water in the fridge"". Based on what Mary says, is it true that there is water in the fridge? ","No.

Here's the reasoning:

Mary's statement is a conditional: ""If Lucy is thirsty, then there is water in the fridge.""  Since Lucy is *not* thirsty, the condition is false.  Conditional statements are only false when the condition is true and the conclusion is false.  Because the condition is false, the statement as a whole is true regardless of whether there's water in the fridge or not. However, the question asks if it *is* true that there is water in the fridge. Since Lucy isn't thirsty, Mary's statement doesn't tell us anything about whether there's water in the fridge. It's possible there is, or it's not."
B4T,English,"Here's the context: Peter's phone is dead and there is a charger in the drawer. There is also a computer on the table. Mary says: ""If Peter's phone is dead, there is a charger in the drawer"". Based on what Mary says, is it true that there is a charger in the drawer?","Yes, it is true that there is a charger in the drawer.

Mary’s statement is a conditional: “If Peter’s phone is dead, then there is a charger in the drawer.” We know Peter’s phone *is* dead. Therefore, the “if” part of the statement is true, and the “then” part *must* also be true.
"
